,Operating_Cash_Flow_(ttm),Gross_Profit_(ttm),Enterprise_Value,Revenue_(ttm),EBITDA,Market_Cap_(intraday),Float_8,Operating_Margin_(ttm),Return_on_Assets_(ttm),Profit_Margin,Quarterly_Revenue_Growth_(yoy),Price/Book_(mrq),Revenue_Per_Share_(ttm),Enterprise_Value/Revenue,PEG_Ratio_(5_yr_expected),Current_Ratio_(mrq),50-Day_Moving_Average_3,Diluted_EPS_(ttm),Enterprise_Value/EBITDA,Total_Cash_Per_Share_(mrq),Beta_(5Y_Monthly),Forward_Annual_Dividend_Rate_4,Book_Value_Per_Share_(mrq),Price/Sales_(ttm),Forward_P/E,200-Day_Moving_Average_3,LogReturn,Cost_of_Equity
WY,0.030919446155651387,0.039497969730527875,0.021001248722897038,0.0273884482241666,0.07725847676904038,0.017764702801323407,0.026699072162598248,0.36133300256346645,0.25772678379347436,0.385708367854184,0.31845922961480744,0.00444544736545188,0.08591588926646607,0.07489187343501023,0.05536332179930794,0.02346177750155376,0.00832219300436309,0.22178700644958318,0.8193190977307041,0.0031762551207293243,0.3580071174377225,0.03855109961190169,0.15255135456981245,0.06542684293076406,0.15375207905293023,0.008356127827073186,0.34567961331539077,5.736427609116184
NWL,0.012658042183695623,0.03388704318936877,0.0046106691582909086,0.02027966309591954,0.06639667004162449,0.0,0.0491363741137671,0.3234102373273795,0.1746145571889566,0.2977423363711682,0.21810905452726365,0.001963217872052353,0.037358498733793634,0.019348964261324833,0.10788927335640137,0.016314481044126788,0.0,0.21039798647160612,0.8928924156251064,0.0003367054898299638,0.09608540925266901,0.011642949547218631,0.10800833581423044,0.006946000448129061,0.04074943743273652,0.00040029354860230803,0.16612488001143638,1.7224083093909173
SYY,0.048080025814778965,0.040753045404208196,0.039042238270300476,0.20500449750592853,0.10079874001574982,0.029785339537157476,0.060772969864915184,0.31323906392127676,0.40480458945858727,0.3597763048881525,0.3036518259129565,0.05420286584677875,0.31823986493798834,0.007511950830867289,0.040830449826989614,0.016159105034182723,0.02357097736187216,0.23666823973572443,0.8147101227167978,0.0007040205696444696,0.14234875444839862,0.08581285036653731,0.0960404882405478,0.006946000448129061,0.06432834360630074,0.027449296150510373,0.3524184593559931,2.431406283527174
ALB,0.03283757223737863,0.03551125876707272,0.01852999991267672,0.033008967754245375,0.08059399257509282,0.017398060286504938,0.012344315571102538,0.4191846522781775,0.3209752599498028,0.4420256835128418,0.2740370185092546,0.004896761818797247,0.23096902664444485,0.06009560664693831,0.015916955017301036,0.04226227470478557,0.07754403490473183,0.2885480572597138,0.805968963207665,0.008645168531300857,0.24341637010676154,0.16412246658042262,0.1881988687109259,0.05780864889088058,0.03375403580862929,0.0938062912802722,0.48908925570724954,3.980294165486379
CE,0.04398486315233653,0.030343300110741975,0.019988298680545247,0.020186987216180115,0.08243386207672404,0.008005028240203226,0.027904779515133406,0.4427520052923179,0.3059878092506275,0.4747721623860812,0.2763381690845423,0.004355184474782806,0.133360749767321,0.05577054404734804,0.1792387543252595,0.024549409571162216,0.03921273376327658,0.25408211420481364,0.8135635550409245,0.0013111107710045557,0.23701067615658364,0.03372143165157395,0.21867817802917539,0.02599148554783778,0.03673808824968202,0.04109680432317032,0.3454345375281923,3.8821252152213592
CF,0.039572882748100564,0.056035437430786275,0.009989783176296969,0.03304712841060866,0.08538643266959163,0.009925536651157106,0.025154702891924546,0.4012073100140577,0.3427034779490857,0.44490472245236123,0.2357178589294647,0.005483470608146227,0.11428756953312698,0.02845435920783064,0.1020069204152249,0.02094468614045991,0.02286950390033935,0.2696554978763568,0.8014394532802053,0.010341960136110644,0.29395017793594314,0.07011642949547219,0.15174754391187856,0.030696840690118753,0.02925349770081205,0.029784341850690503,0.4421103030965712,4.754738106465983
DD,0.036123089559682006,0.046880767811000375,0.02948033916361763,0.022220405048109685,0.08891888851389358,0.02696568400652973,0.04967210332608052,0.4060365500702886,0.2086769451416278,0.4292874896437448,0.3811905952976488,0.0018955207040505474,0.058643752299733766,0.06123378101525153,0.06885813148788926,0.022871348663766312,0.02282910490517254,0.22397357243983013,0.8121445356400913,0.004462878219746247,0.27615658362989326,0.05148771021992238,0.17083060434653172,0.0609455523190679,0.08472752176890713,0.024326172526519446,0.2861223457495741,4.482046577952038
EMN,0.02646777552876295,0.028866740494647478,0.009046691757555646,0.03305803145528389,0.0837594780065249,0.004975862701107784,0.033900387295492024,0.38867113205986936,0.38257439942631766,0.42531068765534386,0.3306653326663332,0.0032720297867539208,0.17188805437111748,0.027771454586842707,0.04602076124567473,0.02554381603480423,0.027295030189067294,0.25609564259871015,0.8097492308914848,0.0034007254472826335,0.29893238434163705,0.052005174644243216,0.1886752009526645,0.01882142056912391,0.043831327658741794,0.03008039228767763,0.30385735328722263,4.831091734449887
FCX,0.046531139077121655,0.0844592100406054,0.05299649833649152,0.028146209829094777,0.09150635617054788,0.05084109538816094,0.04384671305431509,0.4451831638137766,0.3117246324847615,0.4699875724937863,0.351575787893947,0.007649779984203996,0.05895976277569748,0.060550876394263604,0.1071280276816609,0.025792417650714727,0.011072997311630502,0.2457763095799906,0.8076036735574249,0.002176341847900948,0.19145907473309612,0.05502371711944805,0.16841321821970828,0.05982522966614384,0.10537129439389492,0.011550136766962437,0.5337182143985478,3.1840349022256618
FMC,0.032879315908357534,0.02997416020671835,0.009299929268143593,0.021697058903698857,0.07635405557430533,0.006363866507206271,0.018356387842619733,0.3847680476308608,0.32140552169236286,0.4187241093620548,0.25032516258129067,0.006566625296175111,0.11356464145797707,0.053266560437058956,0.08304498269896192,0.030174021131137353,0.03410042455671284,0.2520056630486079,0.811474758482898,0.0037925281990847737,0.21637010676156584,0.07529107373868046,0.19657636201250375,0.041227873627604744,0.05283240387437629,0.04454099673093602,0.36602012819237906,3.565803042145183
LYB,0.03623162897122238,0.06149870801033592,0.033235240182680294,0.07682285278163928,0.07988952638092024,0.023857952214258904,0.019503329626711995,0.3411725791780369,0.2855503764790247,0.3872203811101906,0.3053526763381691,0.004558275978788221,0.31249540053245595,0.012975187798770771,0.05252595155709341,0.023648228713486635,0.030097251399274286,0.25743275129778204,0.8069566007106449,0.01076743343689578,0.24839857651245553,0.11099611901681758,0.2312950282822269,0.010306968406901188,0.03541727815282262,0.03269063980252185,0.33789185789225334,4.056647793470284
MLM,0.033496142450643904,0.0233296419342931,0.02462516482269008,0.025589445852754376,0.08381145235684553,0.020549439997206535,0.008704903125467022,0.431853138179112,0.4670491215489422,0.4706296603148302,0.3254627313656829,0.007424122757531311,0.27715417415207455,0.10880946961074436,0.061245674740484424,0.013393412057178372,0.15687297086865182,0.3387289602013529,0.8179341347954909,0.003032390047801976,0.29679715302491105,0.17809400603708497,0.2436379874962787,0.09321084472328031,0.11637804520105663,0.15111498432183598,0.4788661956236686,4.798368751028214
MOS,0.06527032180468774,0.055444813584348475,0.010932874595038292,0.05105895821408128,0.0951738103273709,0.007760599896990912,0.06499547859742799,0.42958736459108576,0.26640372893510217,0.461122618061309,0.2919459729864932,0.0014442062507051792,0.09448713231315337,0.013430457546096064,0.08955017301038062,0.020447482908638907,0.009883063272171701,0.24670442032405226,0.8021773433686386,0.0048577419305468415,0.22846975088967975,0.06321690383786113,0.16700208395355762,0.011875420120994847,0.02450836513061344,0.013847654946961104,0.3791532270277938,3.751233281534666
NUE,0.05177623280237026,0.10527870062753784,0.03486818550957499,0.06677024559108131,0.1082911463606705,0.03403664679231448,0.023986737219122114,0.41882080542462585,0.5619935460738615,0.46518227009113505,0.271335667833917,0.0038361728534356317,0.24218523408584228,0.01957659913498748,0.11024221453287197,0.08539465506525792,0.053914295368071574,0.3166588013213781,0.8038347580288118,0.004548585071702965,0.24626334519572954,0.061664510564898654,0.23840428699017568,0.021734259466726413,0.03155268564719694,0.05805924344519313,0.5431266719822037,4.0239248100486105
STLD,0.06729443515503535,0.057954964931709124,0.01243483500266336,0.05271622100471557,0.10631117111036112,0.01188969298054176,0.016890034930051246,0.43719507152898374,0.7171029042667622,0.48757249378624695,0.19209604802401203,0.003610515626762948,0.24759204346226268,0.013658092419758707,0.3747404844290657,0.062150403977625855,0.03434281852771371,0.34874941009910343,0.8029606420778985,0.006285169143492656,0.2918149466192171,0.0728762397585166,0.23849359928550165,0.01568451714093659,0.013648371000880538,0.039499799853225694,0.5204347447425846,4.722015123044309
